time/total_timesteps,time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,train/loss,train/learning_rate
244800,6075,,1208,40,200.0,-247312.73669763,0.0,,,
244800,6074,,1212,40,200.0,-247312.73669763,0.0,,,
244800,6074,,1216,40,200.0,-247312.73669763,0.0,,,
244800,6074,,1220,40,200.0,-247312.73669763,0.0,,,
244800,6073,,1224,40,200.0,-247312.73669763,0.0,,,
249600,6075,0.9717714285714285,1228,41,200.0,-248034.66975854003,0.0,2495,818.7129638671875,0.0001
249600,6074,,1232,41,200.0,-248034.66975854003,0.0,,,
249600,6074,,1236,41,200.0,-248034.66975854003,0.0,,,
249600,6074,,1240,41,200.0,-248034.66975854003,0.0,,,
249600,6073,,1244,41,200.0,-248034.66975854003,0.0,,,
249600,6073,,1248,41,200.0,-248034.66975854003,0.0,,,
254400,6074,0.9712285714285714,1252,41,200.0,-247830.41016949003,0.0,2545,846.294287109375,0.0001
254400,6074,,1256,41,200.0,-247830.41016949003,0.0,,,
254400,6073,,1260,41,200.0,-247830.41016949003,0.0,,,
254400,6073,,1264,41,200.0,-247830.41016949003,0.0,,,
254400,6073,,1268,41,200.0,-247830.41016949003,0.0,,,
254400,6072,,1272,41,200.0,-247830.41016949003,0.0,,,
259200,6074,0.9706857142857144,1276,42,200.0,-248738.67225268,0.0,2595,828.9891845703125,0.0001
259200,6074,,1280,42,200.0,-248738.67225268,0.0,,,
259200,6073,,1284,42,200.0,-248738.67225268,0.0,,,
259200,6073,,1288,42,200.0,-248738.67225268,0.0,,,
259200,6072,,1292,42,200.0,-248738.67225268,0.0,,,
259200,6072,,1296,42,200.0,-248738.67225268,0.0,,,
264000,6074,0.9701428571428571,1300,43,200.0,-248052.05727254998,0.0,2645,850.3130249023437,0.0001
264000,6074,,1304,43,200.0,-248052.05727254998,0.0,,,
264000,6074,,1308,43,200.0,-248052.05727254998,0.0,,,
264000,6073,,1312,43,200.0,-248052.05727254998,0.0,,,
264000,6073,,1316,43,200.0,-248052.05727254998,0.0,,,
264000,6073,,1320,43,200.0,-248052.05727254998,0.0,,,
268800,6073,0.9696,1324,44,200.0,-249303.64779547998,0.0,2695,841.3938842773438,0.0001
268800,6072,,1328,44,200.0,-249303.64779547998,0.0,,,
268800,6072,,1332,44,200.0,-249303.64779547998,0.0,,,
268800,6072,,1336,44,200.0,-249303.64779547998,0.0,,,
268800,6071,,1340,44,200.0,-249303.64779547998,0.0,,,
268800,6071,,1344,44,200.0,-249303.64779547998,0.0,,,
273600,6071,0.9690571428571428,1348,45,200.0,-248634.53234159003,0.0,2745,875.1651000976562,0.0001
273600,6070,,1352,45,200.0,-248634.53234159003,0.0,,,
273600,6070,,1356,45,200.0,-248634.53234159003,0.0,,,
273600,6070,,1360,45,200.0,-248634.53234159003,0.0,,,
273600,6069,,1364,45,200.0,-248634.53234159003,0.0,,,
273600,6069,,1368,45,200.0,-248634.53234159003,0.0,,,
278400,6072,0.9685142857142857,1372,45,200.0,-249119.16831213998,0.0,2795,860.8674194335938,0.0001
278400,6072,,1376,45,200.0,-249119.16831213998,0.0,,,
278400,6071,,1380,45,200.0,-249119.16831213998,0.0,,,
278400,6071,,1384,45,200.0,-249119.16831213998,0.0,,,
278400,6071,,1388,45,200.0,-249119.16831213998,0.0,,,
278400,6070,,1392,45,200.0,-249119.16831213998,0.0,,,
283200,6070,0.9679714285714286,1396,46,200.0,-249478.97816347,0.0,2845,880.3218627929688,0.0001
283200,6069,,1400,46,200.0,-249478.97816347,0.0,,,
283200,6069,,1404,46,200.0,-249478.97816347,0.0,,,
283200,6069,,1408,46,200.0,-249478.97816347,0.0,,,
283200,6068,,1412,46,200.0,-249478.97816347,0.0,,,
283200,6068,,1416,46,200.0,-249478.97816347,0.0,,,
288000,6066,0.9674285714285714,1420,47,200.0,-249110.53836205992,0.0,2895,884.9828002929687,0.0001
288000,6065,,1424,47,200.0,-249110.53836205992,0.0,,,
288000,6065,,1428,47,200.0,-249110.53836205992,0.0,,,
288000,6065,,1432,47,200.0,-249110.53836205992,0.0,,,
288000,6064,,1436,47,200.0,-249110.53836205992,0.0,,,
288000,6064,,1440,47,200.0,-249110.53836205992,0.0,,,
292800,6066,0.9668857142857143,1444,48,200.0,-249236.16978447002,0.0,2945,888.4522094726562,0.0001
292800,6065,,1448,48,200.0,-249236.16978447002,0.0,,,
292800,6065,,1452,48,200.0,-249236.16978447002,0.0,,,
292800,6065,,1456,48,200.0,-249236.16978447002,0.0,,,
292800,6064,,1460,48,200.0,-249236.16978447002,0.0,,,
292800,6064,,1464,48,200.0,-249236.16978447002,0.0,,,
297600,6066,0.9663428571428571,1468,49,200.0,-247406.2586864,0.0,2995,898.6400146484375,0.0001
297600,6066,,1472,49,200.0,-247406.2586864,0.0,,,
297600,6065,,1476,49,200.0,-247406.2586864,0.0,,,
297600,6065,,1480,49,200.0,-247406.2586864,0.0,,,
297600,6065,,1484,49,200.0,-247406.2586864,0.0,,,
297600,6064,,1488,49,200.0,-247406.2586864,0.0,,,
302400,6068,0.9658,1492,49,200.0,-248496.47915585001,0.0,3045,898.8134521484375,0.0001
302400,6068,,1496,49,200.0,-248496.47915585001,0.0,,,
302400,6068,,1500,49,200.0,-248496.47915585001,0.0,,,
302400,6067,,1504,49,200.0,-248496.47915585001,0.0,,,
302400,6067,,1508,49,200.0,-248496.47915585001,0.0,,,
302400,6067,,1512,49,200.0,-248496.47915585001,0.0,,,
307200,6072,0.9652571428571429,1516,50,200.0,-246232.22407436997,0.0,3095,915.1400756835938,0.0001
307200,6072,,1520,50,200.0,-246232.22407436997,0.0,,,
